,adjclose
2010-01-04,1867.06005859375
2010-01-05,1872.9000244140625
2010-01-06,1874.72998046875
2010-01-07,1882.3399658203125
2010-01-08,1887.77001953125
2010-01-11,1891.06005859375
2010-01-12,1873.3199462890625
2010-01-13,1889.0999755859375
2010-01-14,1893.719970703125
2010-01-15,1873.300048828125
2010-01-19,1896.719970703125
2010-01-20,1876.9000244140625
2010-01-21,1841.3900146484375
2010-01-22,1800.6099853515625
2010-01-25,1808.9300537109375
2010-01-26,1801.3399658203125
2010-01-27,1810.2099609375
2010-01-28,1788.969970703125
2010-01-29,1771.4000244140625
2010-02-01,1796.6700439453125
2010-02-02,1819.989990234375
2010-02-03,1810.6400146484375
2010-02-04,1754.300048828125
2010-02-05,1759.3800048828125
2010-02-08,1744.3699951171875
2010-02-09,1767.1800537109375
2010-02-10,1763.68994140625
2010-02-11,1781.010009765625
2010-02-12,1776.5
2010-02-16,1808.719970703125
2010-02-17,1816.699951171875
2010-02-18,1828.81005859375
2010-02-19,1833.0899658203125
2010-02-22,1831.2099609375
2010-02-23,1809.050048828125
2010-02-24,1826.989990234375
2010-02-25,1823.6400146484375
2010-02-26,1826.27001953125
2010-03-01,1844.8699951171875
2010-03-02,1849.1700439453125
2010-03-03,1850.239990234375
2010-03-04,1857.199951171875
2010-03-05,1883.280029296875
2010-03-08,1883.2900390625
2010-03-09,1886.5999755859375
2010-03-10,1895.3800048828125
2010-03-11,1903.6800537109375
2010-03-12,1903.2900390625
2010-03-15,1904.18994140625
2010-03-16,1919.02001953125
2010-03-17,1930.219970703125
2010-03-18,1929.6300048828125
2010-03-19,1919.800048828125
2010-03-22,1929.6400146484375
2010-03-23,1943.699951171875
2010-03-24,1933.0400390625
2010-03-25,1929.75
2010-03-26,1931.1800537109375
2010-03-29,1942.510009765625
2010-03-30,1942.81005859375
2010-03-31,1936.47998046875
2010-04-01,1950.9100341796875
2010-04-05,1966.43994140625
2010-04-06,1969.760009765625
2010-04-07,1959.0400390625
2010-04-08,1965.719970703125
2010-04-09,1978.8599853515625
2010-04-12,1982.4000244140625
2010-04-13,1983.9100341796875
2010-04-14,2006.06005859375
2010-04-15,2007.739990234375
2010-04-16,1975.3599853515625
2010-04-19,1984.3199462890625
2010-04-20,2000.3299560546875
2010-04-21,1998.31005859375
2010-04-22,2002.9300537109375
2010-04-23,2017.18994140625
